,forward_ntrials,forward_ncorrect,forward_k,backward_ntrials,backward_ncorrect,backward_k,practice_ntrials,practice_ncorrect,practice_k,sequencing_ntrials,sequencing_ncorrect,sequencing_k,group
4381,12.0,9.0,7.0,12.0,11.0,7.0,6.0,6.0,4.0,18.0,12.0,6.0,0.0
4382,8.0,5.0,5.0,6.0,3.0,3.0,6.0,4.0,4.0,12.0,7.0,4.0,1.0
4383,12.0,10.0,8.0,10.0,7.0,5.0,6.0,4.0,3.0,15.0,9.0,5.0,0.0
4384,10.0,6.0,6.0,4.0,2.0,2.0,6.0,4.0,4.0,15.0,8.0,5.0,1.0
4385,8.0,5.0,5.0,6.0,3.0,3.0,6.0,4.0,3.0,6.0,3.0,2.0,1.0
4386,12.0,9.0,7.0,6.0,4.0,3.0,6.0,3.0,3.0,9.0,6.0,3.0,0.0
4388,10.0,7.0,6.0,6.0,4.0,3.0,6.0,4.0,3.0,9.0,4.0,3.0,0.0
4389,12.0,12.0,8.0,12.0,10.0,7.0,6.0,6.0,4.0,21.0,15.0,7.0,0.0
4390,10.0,8.0,6.0,10.0,6.0,5.0,6.0,6.0,4.0,15.0,9.0,5.0,0.0
4391,12.0,10.0,8.0,12.0,9.0,7.0,6.0,6.0,4.0,15.0,12.0,5.0,0.0
4392,8.0,6.0,5.0,6.0,4.0,3.0,6.0,4.0,3.0,12.0,8.0,4.0,0.0
4393,10.0,7.0,6.0,4.0,2.0,2.0,6.0,6.0,4.0,15.0,10.0,5.0,0.0
4394,12.0,9.0,7.0,8.0,5.0,4.0,6.0,6.0,4.0,15.0,10.0,5.0,0.0
4395,6.0,4.0,4.0,8.0,4.0,4.0,6.0,6.0,4.0,15.0,9.0,5.0,0.0
4396,12.0,8.0,7.0,10.0,6.0,5.0,4.0,1.0,2.0,9.0,2.0,3.0,0.0
4397,12.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,4.0,15.0,10.0,5.0,0.0
4398,12.0,8.0,8.0,8.0,4.0,4.0,6.0,5.0,4.0,15.0,10.0,5.0,0.0
4399,,,,,,,,,,,,,0.0
4401,12.0,12.0,8.0,8.0,5.0,4.0,6.0,6.0,4.0,12.0,8.0,4.0,0.0
4402,12.0,9.0,7.0,6.0,4.0,3.0,6.0,4.0,3.0,9.0,6.0,3.0,1.0
4403,10.0,8.0,6.0,6.0,3.0,3.0,4.0,2.0,2.0,6.0,3.0,2.0,0.0
4404,12.0,11.0,8.0,8.0,4.0,4.0,6.0,5.0,4.0,21.0,14.0,7.0,0.0
4406,,,,,,,,,,,,,0.0
4407,,,,,,,,,,,,,0.0
4409,6.0,4.0,4.0,6.0,4.0,3.0,6.0,3.0,3.0,9.0,6.0,3.0,0.0
4410,12.0,10.0,8.0,8.0,5.0,4.0,6.0,2.0,3.0,12.0,9.0,4.0,1.0
4411,8.0,6.0,5.0,10.0,7.0,5.0,6.0,3.0,3.0,12.0,8.0,4.0,0.0
4412,12.0,11.0,8.0,8.0,5.0,4.0,6.0,4.0,4.0,15.0,9.0,5.0,0.0
4413,12.0,9.0,8.0,8.0,6.0,4.0,6.0,6.0,4.0,15.0,11.0,5.0,1.0
4414,8.0,5.0,5.0,6.0,4.0,3.0,6.0,5.0,4.0,9.0,6.0,3.0,0.0
4415,12.0,10.0,8.0,12.0,10.0,6.0,6.0,6.0,4.0,18.0,13.0,6.0,0.0
4416,12.0,10.0,8.0,6.0,4.0,3.0,6.0,6.0,4.0,15.0,9.0,5.0,0.0
4417,10.0,7.0,6.0,8.0,5.0,4.0,6.0,3.0,3.0,12.0,7.0,4.0,0.0
4418,,,,,,,,,,,,,0.0
4420,8.0,5.0,5.0,8.0,6.0,4.0,6.0,4.0,4.0,12.0,8.0,4.0,0.0
4421,12.0,10.0,7.0,12.0,9.0,7.0,6.0,5.0,4.0,15.0,11.0,5.0,0.0
4422,12.0,8.0,7.0,8.0,6.0,4.0,6.0,6.0,4.0,12.0,7.0,4.0,0.0
4423,10.0,6.0,6.0,8.0,5.0,4.0,6.0,6.0,4.0,15.0,10.0,5.0,1.0
4424,12.0,9.0,7.0,8.0,4.0,4.0,6.0,6.0,4.0,9.0,5.0,3.0,1.0
4425,12.0,8.0,7.0,8.0,5.0,4.0,6.0,2.0,3.0,6.0,3.0,2.0,0.0
4426,12.0,11.0,8.0,8.0,5.0,4.0,6.0,4.0,4.0,18.0,11.0,6.0,0.0
4427,10.0,8.0,6.0,4.0,2.0,2.0,6.0,4.0,3.0,9.0,6.0,3.0,1.0
4428,10.0,6.0,6.0,6.0,3.0,3.0,4.0,1.0,2.0,9.0,3.0,3.0,0.0
4429,8.0,6.0,5.0,8.0,5.0,4.0,2.0,0.0,0.0,6.0,3.0,2.0,1.0
4430,12.0,10.0,8.0,8.0,6.0,4.0,6.0,5.0,4.0,12.0,9.0,4.0,0.0
4432,10.0,7.0,6.0,6.0,3.0,3.0,4.0,1.0,2.0,6.0,2.0,2.0,0.0
4433,10.0,8.0,6.0,8.0,5.0,4.0,6.0,3.0,3.0,12.0,6.0,4.0,1.0
4434,10.0,6.0,6.0,12.0,7.0,6.0,6.0,6.0,4.0,15.0,11.0,5.0,0.0
4435,10.0,7.0,6.0,6.0,3.0,3.0,6.0,4.0,3.0,12.0,7.0,4.0,1.0
